,tanggal,jenis_kejadian_bencana,alamat,location,latitude,longitude
1,2020-08-01,Kebakaran,"Jl. Dr. Soemorno, Pulo Gebang, Cakung,  Kota Administrasi Jakarta Timur",Badan Pertahanan Nasional Kota Administrasi Jakarta Timur,-6.214899999999943,106.94562000000008
9,2020-08-01,Kebakaran,"Jl. Swadaya, No. 24, Kedaung Kali Angke, Cengkareng,  Kota Administrasi Jakarta Barat","Jalan Swadaya 24, Cengkareng, DKI Jakarta, 11710",-6.15469001520178,106.76761999110113
18,2020-08-01,Kebakaran,"Jl. Pahlawan Revolusi, No. 4, Pondok Bambu, Duren Sawit,  Kota Administrasi Jakarta Timur","Jalan Pahlawan Revolusi 4, Duren Sawit, DKI Jakarta, 13430",-6.2354999856257365,106.89740001545164
20,2020-08-02,Kebakaran,"Jl.Toga Asri 4 ( Asrama Polsek Ciracas ), Ciracas, Ciracas,  Kota Administrasi Jakarta Timur","Jalan Toga Asri 4, Ciracas, DKI Jakarta, 13750",-6.291599262018909,106.8735644822787
21,2020-08-02,Kebakaran,"Jl.Kp Bahari Gg.2, Tanjung Priok, Tanjung Priok,  Kota Administrasi Jakarta Utara",Kota Administrasi Jakarta Utara,-6.139129999999966,106.86195000000004
22,2020-08-02,Kebakaran,"Jl.Jatipadang Utara Gg.Bakri No..93, Jatipadang, Pasar Minggu,  Kota Administrasi Jakarta Selatan","Jalan Jati Padang Utara 93, Pasar Minggu, DKI Jakarta, 12540",-6.284070491530199,106.8288942587285
23,2020-08-02,Kebakaran,"Jl.Puri Kencana ( Kawan Lama ), Meruya Utara, Kembangan,  Kota Administrasi Jakarta Barat","Jalan Puri Kencana, Kembangan, DKI Jakarta, 11610",-6.190821231991595,106.74849610775082
26,2020-08-02,Kebakaran,"Jl.Tanjung Duren Timur, Tanjung Duren Selatan, Grogol Petamburan,  Kota Administrasi Jakarta Barat","Jalan Tanjung Duren Timur, Grogol Petamburan, DKI Jakarta, 11470",-6.18044494240565,106.78940506036832
30,2020-08-02,Kebakaran,"Jl.Pulo Laki Blok E12 ( Komplek Kodamar ), Kelapa Gading Barat, Kelapa Gading,  Kota Administrasi Jakarta Utara","Kelapa Gading Barat, Kelapa Gading, DKI Jakarta",-6.1534299999999575,106.89686000000006
32,2020-08-02,Kebakaran,"Jl.Camat Gabun, Lenteng Agung, Jagakarsa,  Kota Administrasi Jakarta Selatan","Jalan Camat Gabun, Jagakarsa, DKI Jakarta, 12610",-6.337684154208162,106.83809227828833
35,2020-08-03,Kebakaran,"Jalan Raden Inten, Duren sawit, Duren Sawit,  Kota Administrasi Jakarta Timur","Jalan Raden Inten II, Duren Sawit, DKI Jakarta, 13440",-6.245411667473471,106.91956202946727
36,2020-08-03,Kebakaran,"Perum Kampung Ubu, Ciputat, Ciputat, Kota Tangerang Selatan","Ciputat, Banten",-6.319119999999941,106.74552000000006
44,2020-08-03,Kebakaran,"Jl. Raya Cakung Barat, Cakung Barat, Cakung,  Kota Administrasi Jakarta Timur","Jalan Raya Tipar Cakung, Cakung, DKI Jakarta, 13910",-6.1657649610032195,106.93224006655265
45,2020-08-03,Kebakaran,"Jl. Sektor VII, Tangerang, Tangerang, Kota Tangerang","Jalan Sektor VII, Ciledug, Tangerang Kota, Banten, 15151",-6.229115719535354,106.70926833619812
58,2020-08-04,Kebakaran,"Jl. Kamboja, Kebon Pala, Makasar,  Kota Administrasi Jakarta Timur","Jalan Kamboja, Makasar, DKI Jakarta, 13650",-6.263564965344763,106.88023509312433
60,2020-08-04,Kebakaran,"Jl. Rasamala VII, No. 51A, Menteng Dalam, Tebet,  Kota Administrasi Jakarta Selatan","Jalan Rasamala VII 51A, Tebet, DKI Jakarta, 12870",-6.231177581936981,106.83808068995963
61,2020-08-04,Kebakaran,"Jl. Kp. Salo, Kembangan Utara, Kembangan,  Kota Administrasi Jakarta Barat","Kembangan Utara, Kembangan, DKI Jakarta",-6.171019999999942,106.74876000000006
64,2020-08-05,Kebakaran,"Jl.Majalah ( Komplek PWI ), Cipinang Besar Selatan, Jatinegara,  Kota Administrasi Jakarta Timur","Jalan Majalah, Jatinegara, DKI Jakarta, 13380",-6.233093558579056,106.88829824722914
69,2020-08-05,Kebakaran,"Jl.Kamal Raya, Kamal, Kalideres,  Kota Administrasi Jakarta Barat","Jalan Kamal Raya, Kalideres, DKI Jakarta, 11820",-6.104790100387514,106.71024067426528
72,2020-08-05,Kebakaran,"Jl.Mampang Prapatan VII, Tegal Parang, Mampang Prapatan,  Kota Administrasi Jakarta Selatan","Jalan Mampang Prapatan VII, Mampang Prapatan, DKI Jakarta, 12720",-6.247459646637807,106.82431254056046
75,2020-08-05,Kebakaran,"Jl.Pekojan 1, Pekojan, Tambora,  Kota Administrasi Jakarta Barat","Jalan Pekojan II 1, Tambora, DKI Jakarta, 11240",-6.1408625776588295,106.80245536671953
76,2020-08-05,Kebakaran,"Jl.Raya Pasar Minggu Gg.Buntu, Pasar Minggu, Pasar Minggu,  Kota Administrasi Jakarta Selatan","Jalan Raya Pasar Minggu, Pasar Minggu, DKI Jakarta, 12510",-6.269749950743169,106.84524006063361
79,2020-08-06,Kebakaran,"Jl. Suryo No.31, Rawa Barat, Kebayoran Baru,  Kota Administrasi Jakarta Selatan","Jalan Suryo 31, Kebayoran Baru, DKI Jakarta, 12180",-6.2376200203958945,106.81456996445291
80,2020-08-06,Kebakaran,"Jl. kampung Melayu Kecil No.20, Bukit Duri, Tebet,  Kota Administrasi Jakarta Selatan","Jalan Kampung Melayu Kecil I 20, Tebet, DKI Jakarta, 12840",-6.221673101874141,106.86349559377268
81,2020-08-06,Kebakaran,"PT. Integrity Indonesia, Jl. R.S. Fatmawati No.57B, Cilandak barat, Cilandak,  Kota Administrasi Jakarta Selatan","Jalan RS Fatmawati 57B, Cilandak, DKI Jakarta, 12430",-6.287019982136329,106.79524003844489
85,2020-08-06,Kebakaran,"Jl. Kakap V, Penjaringan, Penjaringan,  Kota Administrasi Jakarta Utara","Jalan Kakap, Penjaringan, DKI Jakarta, 14440",-6.100034901838417,106.80455889657172
86,2020-08-06,Kebakaran,"Jl. H. Naba II No.29, Tangerang, Tangerang, Kota Tangerang","Jalan Naba II 29, Karang Tengah, Tangerang Kota, Banten, 15157",-6.224619981937394,106.72042996004245
88,2020-08-07,Kebakaran,"Jl. Surabaya No. 26, Menteng, Menteng,  Kota Administrasi Jakarta Pusat","Jalan Surabaya 26, Menteng, DKI Jakarta, 10310",-6.199320003483123,106.83980997038998
91,2020-08-06,Kebakaran,"Jl. Jelambar Barat II No.2, Jelambar, Grogol Petamburan,  Kota Administrasi Jakarta Barat","Jalan Jelambar Barat III 2, Grogol Petamburan, DKI Jakarta, 11460",-6.14506997919878,106.78331996630101
92,2020-08-07,Kebakaran,"Jl. Tomang Tinggi No.22, Tomang, Grogol Petamburan,  Kota Administrasi Jakarta Barat","Jalan Tomang Tinggi 22, Grogol Petamburan, DKI Jakarta, 11440",-6.172630012115761,106.79611997064023
101,2020-08-07,Kebakaran,"Jl. jati Padang Utara, Jatipadang, Pasar Minggu,  Kota Administrasi Jakarta Selatan","Jalan Jati Padang Utara, Pasar Minggu, DKI Jakarta, 12540",-6.281059946064403,106.8319462911819
102,2020-08-07,Kebakaran,"Jl. Karya Utama, Gandaria Utara, Kebayoran Baru,  Kota Administrasi Jakarta Selatan","Jalan Karya Utama, Kebayoran Baru, DKI Jakarta, 12140",-6.259616676765847,106.79312891960011
108,2020-08-07,Kebakaran,"Jl. Taman Palem Lestari Blok. C21 No. 19, Cengkareng Barat, Cengkareng,  Kota Administrasi Jakarta Barat","Blok C 21, Cengkareng, DKI Jakarta, 11730",-6.135309017965948,106.71916362193178
110,2020-08-08,Kebakaran,"Jl. Kumbang Raya, Pegadungan, Kalideres,  Kota Administrasi Jakarta Barat","Jalan Kumbang Raya, Kalideres, DKI Jakarta, 11830",-6.140971350135148,106.69741744283607
112,2020-08-08,Kebakaran,"Jl. Moh. Mansyur, Duri Utara, Tambora,  Kota Administrasi Jakarta Barat","Duri Utara, Tambora, DKI Jakarta",-6.153419999999926,106.80793000000006
113,2020-08-08,Kebakaran,"Jl. Tanah Pasir, Penjaringan, Penjaringan,  Kota Administrasi Jakarta Utara","Jalan Tanah Pasir, Penjaringan, DKI Jakarta, 14440",-6.1298731236983555,106.79880859957962
115,2020-08-08,Kebakaran,"Jl. Pluit Permata, Pluit, Penjaringan,  Kota Administrasi Jakarta Utara","Pluit, Penjaringan, DKI Jakarta",-6.118699999999933,106.79411000000005
117,2020-08-08,Kebakaran,"Jl.Kebon Pala No..21, Pejagalan, Penjaringan,  Kota Administrasi Jakarta Utara","Pejagalan, Penjaringan, DKI Jakarta",-6.137929999999926,106.78473000000008
118,2020-08-08,Kebakaran,"Jl. Pulogebang, Pulo Gebang, Cakung,  Kota Administrasi Jakarta Timur","Jalan Pulogebang, Cakung, DKI Jakarta, 13950",-6.2136724315482805,106.95557545006591
120,2020-08-08,Kebakaran,"Jl.Menteng Wadas Timur, Pasar Manggis, Setiabudi,  Kota Administrasi Jakarta Selatan","Jalan Menteng Wadas Timur, Setiabudi, DKI Jakarta, 12970",-6.2093114065609765,106.8416403009826
123,2020-08-09,Kebakaran,"Jl.Kebon Manggis 1, Kebon Manggis, Matraman,  Kota Administrasi Jakarta Timur","Jalan Kebon Manggis 1, Matraman, DKI Jakarta, 13150",-6.205362515857691,106.85676633435453
130,2020-08-09,Kebakaran,"Jl. Pantai Indah Utara No.9 Blok AS, Kapuk Muara, Penjaringan,  Kota Administrasi Jakarta Utara","Jalan Pantai Indah Utara II 9, Penjaringan, DKI Jakarta, 14460",-6.116500010768178,106.75918997580146
131,2020-08-09,Kebakaran,"Jl. E2, E3 Dan Gg. F, Pademangan Barat, Pademangan,  Kota Administrasi Jakarta Utara","Pademangan Barat, Pademangan, DKI Jakarta",-6.134389999999939,106.83661000000006
132,2020-08-09,Kebakaran,"Jl. Keamanan Dalam I, Keagungan, Tamansari,  Kota Administrasi Jakarta Barat","Jalan Keamanan, Tamansari, DKI Jakarta, 11130",-6.151299954462473,106.81450159478383
133,2020-08-09,Kebakaran,"Kampung Pedaengan, Jl. Raya Penggilingan, Cakung barat, Cakung,  Kota Administrasi Jakarta Timur","Jalan Raya Penggilingan, Cakung, DKI Jakarta, 13940",-6.203363075419591,106.93518081137483
134,2020-08-09,Kebakaran,"PT. Wintrad Jaya, Jl. Raya Penggilingan, Cakung Barat, Cakung,  Kota Administrasi Jakarta Timur","Jalan Raya Penggilingan, Cakung, DKI Jakarta, 13940",-6.203363075419591,106.93518081137483
143,2020-08-10,Kebakaran,"Jl. Kebon Jeruk Raya No. 6, Kebon jeruk, Kebun Jeruk,  Kota Administrasi Jakarta Barat","Jalan Kebon Jeruk Raya 6, Kebon Jeruk, DKI Jakarta, 11530",-6.197769980038416,106.77267997841011
144,2020-08-10,Kebakaran,"Jl. Jembatan Besi VIII, Jembatan Besi, Tambora,  Kota Administrasi Jakarta Barat","Jalan Jembatan Besi VIII, Tambora, DKI Jakarta, 11290",-6.153105750408352,106.79785529444271
155,2020-08-10,Kebakaran,"Jl. Poncol, No. 53, Gandaria Selatan, Cilandak,  Kota Administrasi Jakarta Selatan","Jalan Poncol 53, Cilandak, DKI Jakarta, 12420",-6.277379539357766,106.7915469115853
159,2020-08-10,Kebakaran,"Jl. Kapuk Sawah, No. 140, Kapuk, Cengkareng,  Kota Administrasi Jakarta Barat","Jalan Kapuk Sawah 140, Cengkareng, DKI Jakarta, 11720",-6.137955461017167,106.75407011557765
164,2020-08-10,Kebakaran,"Jl. Pademangan Timur IV, No. 14, Pademangan Timur, Pademangan,  Kota Administrasi Jakarta Utara","Jalan Pademangan Timur VII 14, Pademangan, DKI Jakarta, 14410",-6.130515909879503,106.84445270240099
165,2020-08-10,Kebakaran,"Jl. Louser Raya, No. 3B, Gunung, Kebayoran Baru,  Kota Administrasi Jakarta Selatan","Jalan Lauser 3B, Kebayoran Baru, DKI Jakarta, 12120",-6.236608670659281,106.7923422028571
167,2020-08-10,Kebakaran,"Jl. Karang Timur Raya, Kel. Karang Timur, Kec. Karang Tengah, Kota Tangerang, Tangerang, Tangerang, Kota Tangerang","Jalan Karang, Karawaci, Tangerang Kota, Banten, 15116",-6.207962144973103,106.61305059141021
170,2020-08-11,Kebakaran,"Jl.KH.Moh Mansyur, Jembatan Lima, Tambora,  Kota Administrasi Jakarta Barat","Jalan KH Moh Mansyur, Tambora, DKI Jakarta, 11250",-6.1447430652230395,106.806976545259
175,2020-08-11,Kebakaran,"Jl.Duri Utara ( Stasiun Kereta Duri ), Duri Selatan, Tambora,  Kota Administrasi Jakarta Barat","Jalan Duri Utara, Tambora, DKI Jakarta, 11270",-6.155620610293798,106.80183297906768
186,2020-08-12,Kebakaran,"Jl. Prepetan Dalam No.72, Kamal, Kalideres,  Kota Administrasi Jakarta Barat","Jalan Prepedan Dalam 72, Kalideres, DKI Jakarta, 11810",-6.114519995690571,106.70364000215363
188,2020-08-13,Kebakaran,"Jl. Srengseng Raya No.12 (Agen Baja Ringan), Srengseng, Kembangan,  Kota Administrasi Jakarta Barat","Jalan Srengseng Raya 12, Kembangan, DKI Jakarta, 11630",-6.2019600096167835,106.75648002268582
192,2020-08-13,Kebakaran,"Jl. Kramat Raya No. 85, Paseban, Senen,  Kota Administrasi Jakarta Pusat","Jalan Kramat Raya 85, Senen, DKI Jakarta, 10450",-6.185231022910774,106.84454875538765
193,2020-08-13,Kebakaran,"Jl. Lanji , Papanggo, Tanjung Priok,  Kota Administrasi Jakarta Utara",Kota Administrasi Jakarta Utara,-6.139129999999966,106.86195000000004
194,2020-08-13,Kebakaran,"Jl. Kp Walang ( Depan Unv Bunda Mulia ), Ancol, Pademangan,  Kota Administrasi Jakarta Utara","Ancol, Pademangan, DKI Jakarta",-6.130109999999945,106.81657000000007
201,2020-08-13,Kebakaran,"Jl. Kayu Manis V No. 17, Kayu Manis, Matraman,  Kota Administrasi Jakarta Timur","Jalan Kayu Manis I 17, Matraman, DKI Jakarta, 13120",-6.19728999035307,106.85995000733993
202,2020-08-13,Kebakaran,"Jl. Otista  Raya No. 18, Bidara Cina, Jatinegara,  Kota Administrasi Jakarta Timur","Jalan Otista Raya, Jatinegara, DKI Jakarta, 13330",-6.238069960958356,106.86859506036555
203,2020-08-13,Kebakaran,"Jl. Perumahan AL. blok E , Bekasi, Bekasi, Kota Bekasi","Jalan Perumahan Taman Kota Blok V, Bekasi Timur, Bekasi Kota, Jawa Barat, 17112",-6.240026334618481,107.0083273298681
228,2020-08-14,Kebakaran,"Jl. Pulo Buaran (PT. Dirga Putra), Jatinegara, Cakung,  Kota Administrasi Jakarta Timur","Jatinegara, Cakung, DKI Jakarta",-6.194219999999973,106.91048000000006
231,2020-08-14,Kebakaran,"PT.Wintrad Jaya Jl.Raya Penggilingan, Cakung Barat, Cakung,  Kota Administrasi Jakarta Timur","Jalan Raya Penggilingan, Cakung, DKI Jakarta, 13940",-6.203363075419591,106.93518081137483
234,2020-08-14,Kebakaran,"Jl.Jeruk Purut ( SDN 05 ), Cilandak Timur, Pasar Minggu,  Kota Administrasi Jakarta Selatan","Jalan Jeruk Purut 5, Pasar Minggu, DKI Jakarta, 12560",-6.28455926535458,106.81157053088882
235,2020-08-14,Kebakaran,"Jl.Pejaten Barat 2 Gg.Kamboja, Pejaten Barat, Pasar Minggu,  Kota Administrasi Jakarta Selatan","Jalan Pejaten Barat 2, Pasar Minggu, DKI Jakarta, 12550",-6.276130003983212,106.82105998826262
236,2020-08-14,Kebakaran,"Jl.Nota Sirin No..34, Ragunan, Pasar Minggu,  Kota Administrasi Jakarta Selatan","Ragunan, Pasar Minggu, DKI Jakarta",-6.300869999999975,106.82124000000005
237,2020-08-14,Kebakaran,"Jl.Tebet Timur Dalam XI, Tebet Timur, Tebet,  Kota Administrasi Jakarta Selatan","Jalan Tebet Timur Dalam XI, Tebet, DKI Jakarta, 12820",-6.226345346707454,106.85819431573593
238,2020-08-14,Kebakaran,"Jl.Kelapa 2, Cilincing, Cilincing,  Kota Administrasi Jakarta Utara","Cilincing, DKI Jakarta",-6.101659999999981,106.93839000000008
248,2020-08-15,Kebakaran,"Jl. Sudiro IV, Cempaka Baru, Kemayoran,  Kota Administrasi Jakarta Pusat","Jalan Sudiro, Kemayoran, DKI Jakarta, 10640",-6.170108843323076,106.86367478206495
249,2020-08-15,Kebakaran,"PT. Dwitama, Jl. Cakung Cilincing, Semper Barat, Cilincing,  Kota Administrasi Jakarta Utara","Jalan Cakung Cilincing, Cilincing, DKI Jakarta, 14140",-6.153629914990406,106.94074761864111
255,2020-08-16,Kebakaran,"Jl. Raya Bogor , Rs Harkit, Rambutan, Ciracas,  Kota Administrasi Jakarta Timur","Jalan Raya Bogor, Ciracas, DKI Jakarta, 13750",-6.294614338947679,106.87196521450608
260,2020-08-16,Kebakaran,"Jl. Raya Kebayoran Lama No. 41, Grogol Selatan, Kebayoran Lama,  Kota Administrasi Jakarta Selatan","Jalan Kebayoran Lama Raya 41, Kebayoran Lama, DKI Jakarta, 12220",-6.226607662088678,106.778537723485
271,2020-08-17,Kebakaran,"Jl. Gelora, No. 1, Gelora, Tanah Abang,  Kota Administrasi Jakarta Pusat","Jalan Gelora 1, Tanah Abang, DKI Jakarta, 10270",-6.212079984234677,106.79705002661655
273,2020-08-16,Kebakaran,"Jl. Rawa Bahagia, Pondok Kopi, Duren Sawit,  Kota Administrasi Jakarta Timur","Jalan Rawa Bahagia, Duren Sawit, DKI Jakarta, 13460",-6.2348276543052235,106.94179026116733
274,2020-08-17,Kebakaran,"Jl. Ex AURI, Kuningan Timur, Setiabudi,  Kota Administrasi Jakarta Selatan","Kuningan Timur, Setiabudi, DKI Jakarta",-6.229939999999942,106.82723000000004
276,2020-08-17,Kebakaran,"Komplek DKI Blok L2, Sunter Agung, Tanjung Priok,  Kota Administrasi Jakarta Utara",Kota Administrasi Jakarta Utara,-6.139129999999966,106.86195000000004
278,2020-08-18,Kebakaran,"Jl.Raya Centex, Ciracas, Ciracas,  Kota Administrasi Jakarta Timur","Ciracas, DKI Jakarta",-6.328499999999963,106.87888000000004
279,2020-08-18,Kebakaran,"Jl.Pakis No..26, Sukabumi Utara, Kebun Jeruk,  Kota Administrasi Jakarta Barat","Jalan Fakis, Kebon Jeruk, DKI Jakarta, 11540",-6.21059994968148,106.77547509166203
288,2020-08-18,Kebakaran,"Jl. Kartini X B Dalam, Kartini, Sawah Besar,  Kota Administrasi Jakarta Pusat","Jalan Kartini X, Sawah Besar, DKI Jakarta, 10750",-6.151444266431809,106.83185247908273
290,2020-08-19,Kebakaran,"Jl. Ciputat Raya gg. Kramat, Pondok Pinang, Kebayoran Lama,  Kota Administrasi Jakarta Selatan","Jalan Ciputat Raya, Kebayoran Lama, DKI Jakarta, 12230",-6.2690054253897065,106.77512652289961
304,2020-08-19,Kebakaran,"Jl. Panca Wardi, Kayu Putih, Pulogadung,  Kota Administrasi Jakarta Timur","Jalan Pancawardi, Pulogadung, DKI Jakarta, 13210",-6.17986100047428,106.88179922447816
310,2020-08-20,Kebakaran,"Jl.Melati, Pulau Pari, Kep. Seribu Selatan,  Kab. Administrasi Kep. Seribu","Seribu, Lampung",-5.57493999999997,105.22969000000006
317,2020-08-20,Kebakaran,"Jl.Brigif Raya ( Tropical Resident ), Ciganjur, Jagakarsa,  Kota Administrasi Jakarta Selatan","Jalan Brigif, Jagakarsa, DKI Jakarta, 12630",-6.344090456975132,106.80142566700812
320,2020-08-21,Kebakaran,"Jl.Delima 13 ( Belakang UHAMKA ), Rambutan, Ciracas,  Kota Administrasi Jakarta Timur","Jalan Delima 13, Cipayung, DKI Jakarta, 13820",-6.313780004304732,106.89149999380646
324,2020-08-21,Kebakaran,"Jl. Pengadegan Selatan V No.2, Pengadegan, Pancoran,  Kota Administrasi Jakarta Selatan","Jalan Pengadegan Selatan 2, Pancoran, DKI Jakarta, 12770",-6.251610003528938,106.85165996982329
325,2020-08-21,Kebakaran,"Jl. Kavling Polri Blok B VII/710 No.39, Jelambar, Grogol Petamburan,  Kota Administrasi Jakarta Barat","Jelambar, Grogol Petamburan, DKI Jakarta",-6.158579999999972,106.78480000000008
326,2020-08-21,Kebakaran,"Jl. Kembangan Selatan, Kembangan Selatan, Kembangan,  Kota Administrasi Jakarta Barat","Jalan Kembangan Selatan, Kembangan, DKI Jakarta, 11610",-6.185180295640862,106.72738639633147
327,2020-08-21,Kebakaran,"jl. M. Sardini, Bale Kambang, Kramat Jati,  Kota Administrasi Jakarta Timur","Bale Kambang, Kramatjati, DKI Jakarta",-6.281099999999981,106.85516000000007
328,2020-08-22,Kebakaran,"Jl. Kamboja Ujung, Kota Bambu Utara, Palmerah,  Kota Administrasi Jakarta Barat","Jalan Kamboja Ujung, Palmerah, DKI Jakarta, 11420",-6.183359039401122,106.80305159223926
346,2020-08-22,Kebakaran,"Jl. Sultan Hasanudin Dalam No. 1, Kramat Pela, Kebayoran Baru,  Kota Administrasi Jakarta Selatan","Jalan Sultan Hasanudin 1, Kebayoran Baru, DKI Jakarta, 12160",-6.243061193884406,106.80279917030533
347,2020-08-22,Kebakaran,"Jl. kayu Besar dalam, Cengkareng Timur, Cengkareng,  Kota Administrasi Jakarta Barat","Jalan Kayu Besar Dalam, Cengkareng, DKI Jakarta, 11730",-6.127517475493771,106.73526329719348
349,2020-08-23,Kebakaran,"Jl.Letjen MT Haryono ( Pintu  Tol Tebet ), Tebet Barat, Tebet,  Kota Administrasi Jakarta Selatan","Jalan Letjen MT Haryono, Tebet, DKI Jakarta, 12810",-6.242906552845549,106.84851569845809
350,2020-08-23,Kebakaran,"Jl.Al - Barkah Ujung, Rawa Buaya, Cengkareng,  Kota Administrasi Jakarta Barat","Jalan Al Barkah, Cengkareng, DKI Jakarta, 11740",-6.164191118696527,106.7294283639395
351,2020-08-23,Kebakaran,"Jl.Taman Sari 9, Pinangsia, Tamansari,  Kota Administrasi Jakarta Barat","Jalan Taman Sari 9, Tamansari, DKI Jakarta, 11160",-6.160789987147226,106.82676999216284
353,2020-08-23,Kebakaran,"Jl.Karang Tengah Raya No..30A, Lebak Bulus, Cilandak,  Kota Administrasi Jakarta Selatan","Jalan Karang Tengah Raya 30A, Cilandak, DKI Jakarta, 12440",-6.309725370998256,106.78097764106364
357,2020-08-24,Kebakaran,"Jl. Raya Tipar Cakung, PT. Jaya Kencana, Cakung Barat, Cakung,  Kota Administrasi Jakarta Timur","Jalan Raya Tipar Cakung, Cakung, DKI Jakarta, 13910",-6.1657649610032195,106.93224006655265
358,2020-08-24,Kebakaran,"Jl. Raya Hamkam, Cilangkap, Cipayung,  Kota Administrasi Jakarta Timur","Jalan Raya Hankam Cilangkap, Cipayung, DKI Jakarta, 13870",-6.330674966485553,106.90405009170252
377,2020-08-25,Kebakaran,"Dermaga Timur Muara Baru, Penjaringan, Penjaringan,  Kota Administrasi Jakarta Utara","Penjaringan, DKI Jakarta",-6.131649999999979,106.79270000000008
378,2020-08-25,Kebakaran,"Jl. Kakap 2 No. 18, Jati, Pulogadung,  Kota Administrasi Jakarta Timur","Jalan Kakap 2 18, Pulogadung, DKI Jakarta, 13220",-6.1944199847962835,106.89724997938481
382,2020-08-26,Kebakaran,"Jl. Pisangan Lama III, Pisangan Timur, Pulogadung,  Kota Administrasi Jakarta Timur","Jalan Pisangan Lama III, Pulogadung, DKI Jakarta, 13230",-6.2128047810069384,106.8787934977097
383,2020-08-25,Kebakaran,"Jl. Jembatan Besi Raya Gg SMP 159, Jembatan Besi, Tambora,  Kota Administrasi Jakarta Barat","Jalan Jembatan Besi Raya, Tambora, DKI Jakarta, 11290",-6.152088635675705,106.7978828229802
384,2020-08-25,Kebakaran,"Jl. Kp Pesanggrahan , Meruya Utara, Kembangan,  Kota Administrasi Jakarta Barat","Jalan Pesanggrahan, Kembangan, DKI Jakarta, 11620",-6.196427164867669,106.7560001479532
385,2020-08-25,Kebakaran,"Jl. Mangga Besar 9, Tangki, Tamansari,  Kota Administrasi Jakarta Barat","Jalan Mangga Besar 9, Tamansari, DKI Jakarta, 11160",-6.147329991751974,106.82361001466569
388,2020-08-26,Kebakaran,"Jl.Semanan Raya, Semanan, Kalideres,  Kota Administrasi Jakarta Barat","Jalan Semanan Raya, Kalideres, DKI Jakarta, 11850",-6.159794950466505,106.70630507017779
389,2020-08-26,Kebakaran,"Jl.SejahterA, Cengkareng Timur, Cengkareng,  Kota Administrasi Jakarta Barat","Cengkareng Timur, Cengkareng, DKI Jakarta",-6.137309999999957,106.73577000000006
398,2020-08-27,Kebakaran,"Jl. E Gg. No.8, Karang Anyar , Sawah Besar,  Kota Administrasi Jakarta Pusat","Jalan Karang Anyar 8, Sawah Besar, DKI Jakarta, 10740",-6.150030012312357,106.82731003818441
399,2020-08-27,Kebakaran,"Jl. Kebon Bawang VI, Kebon Bawang, Tanjung Priok,  Kota Administrasi Jakarta Utara","Jalan Kebon Bawang VI, Tanjung Priok, DKI Jakarta, 14320",-6.1147949640242345,106.89170505706767
400,2020-08-27,Kebakaran,"Jl. Mega Kuningan Timur II, Kuningan Timur, Setiabudi,  Kota Administrasi Jakarta Selatan","Jalan Mega Kuningan Timur, Setiabudi, DKI Jakarta, 12950",-6.226485294419562,106.82763717186361
401,2020-08-27,Kebakaran,"Jl. raya Pulogebang, Pulo Gebang, Cakung,  Kota Administrasi Jakarta Timur","Jalan Raya Pulo Gebang, Cakung, DKI Jakarta, 13950",-6.204389545673346,106.95551639876608
409,2020-08-28,Kebakaran,"Jl. Kampung Rawa Sawah No.8, Kampung Rawa, Johar Baru,  Kota Administrasi Jakarta Pusat","Jalan Rawa Sawah 8, Johar Baru, DKI Jakarta, 10550",-6.1785915150207416,106.85236757008937
416,2020-08-28,Kebakaran,"Jl. Perum Citra 2, Pegadungan, Kalideres,  Kota Administrasi Jakarta Barat","Pegadungan, Kalideres, DKI Jakarta",-6.129859999999951,106.70373000000006
417,2020-08-28,Kebakaran,"Jl. D.I Panjaitan ( Dekat Kampus Mpu Tantular ), rawa bunga, Jatinegara,  Kota Administrasi Jakarta Timur","Jalan D I Panjaitan, Jatinegara, DKI Jakarta, 13340",-6.2335245210177215,106.87643933663719
419,2020-08-28,Kebakaran,"Jl. Rawa Kepiting, Jatinegara, Cakung,  Kota Administrasi Jakarta Timur","Jalan Rawa Kepiting, Cakung, DKI Jakarta, 13930",-6.1951004895857205,106.91959384057519
420,2020-08-29,Kebakaran,"Jl. Rumah Susun Cengkareng Indah Blok Astor No. 1, Cengkareng Timur, Cengkareng,  Kota Administrasi Jakarta Barat","Jalan Rumah Susun Cengkareng Indah 1, Cengkareng, DKI Jakarta, 11730",-6.132090071999178,106.73896921933589
421,2020-08-29,Kebakaran,"Jl. Lingkungan 3, Tegal Alur, Kalideres,  Kota Administrasi Jakarta Barat","Jalan Lingkungan 3, Kalideres, DKI Jakarta, 11820",-6.116670880343816,106.71300210230777
422,2020-08-29,Kebakaran,"Jl.Gandaria 2, Pekayon, Pasar Rebo,  Kota Administrasi Jakarta Timur","Jalan Gandaria 2, Pasar Rebo, DKI Jakarta, 13790",-6.3444000186139675,106.8650900418242
423,2020-08-29,Kebakaran,"Jl.Cipayung Setu, Cipayung, Cipayung,  Kota Administrasi Jakarta Timur","Jalan Setu Cipayung, Cipayung, DKI Jakarta, 13840",-6.3279929197218845,106.90058762198386
427,2020-08-29,Kebakaran,"Jl.Raya Bogor, Ciracas, Ciracas,  Kota Administrasi Jakarta Timur","Jalan Raya Bogor, Ciracas, DKI Jakarta, 13740",-6.324205448458386,106.86460408047223
